step,tag
0,phase_start,1,Walker2d-v4,80000
3373,reward,1,Walker2d-v4,3.34925028372621,1.134
3386,reward,1,Walker2d-v4,2.723284641965425,1.376
3399,reward,1,Walker2d-v4,-10.55541677235557,1.179
3425,reward,1,Walker2d-v4,-1.9941013193413542,-1.347
3438,reward,1,Walker2d-v4,4.212243289846944,-0.397
3468,reward,1,Walker2d-v4,12.219992313146822,0.756
3505,reward,1,Walker2d-v4,11.889499421074438,1.895
3527,reward,1,Walker2d-v4,-7.004948127714367,0.095
3541,reward,1,Walker2d-v4,-3.0029060272673758,0.409
3559,reward,1,Walker2d-v4,5.67970143086452,1.752
3583,reward,1,Walker2d-v4,-0.970721974984952,1.32
3593,reward,1,Walker2d-v4,-5.707429059855492,0.477
3612,reward,1,Walker2d-v4,3.0524496589182766,1.837
3625,reward,1,Walker2d-v4,-0.5339460018354724,1.983
3634,reward,1,Walker2d-v4,-4.428224072933836,1.119
3646,reward,1,Walker2d-v4,-4.828488956652609,-0.586
3692,reward,1,Walker2d-v4,21.042639373971745,0.33
3718,reward,1,Walker2d-v4,-4.4206745879787555,0.588
3767,reward,1,Walker2d-v4,-3.477953856437445,0.541
3788,reward,1,Walker2d-v4,2.526843546532353,0.225
3808,reward,1,Walker2d-v4,-0.6828846478580912,0.254
3827,reward,1,Walker2d-v4,3.6963300872193536,1.195
3843,reward,1,Walker2d-v4,0.4886296648331103,0.938
3856,reward,1,Walker2d-v4,-1.6685015081746353,0.825
3876,reward,1,Walker2d-v4,9.96023660547918,2.264
3906,reward,1,Walker2d-v4,8.544877716271557,3.601
3929,reward,1,Walker2d-v4,1.6868666148434304,1.665
3944,reward,1,Walker2d-v4,-6.2590934306179555,1.482
3956,reward,1,Walker2d-v4,1.6216363980461548,1.991
3999,reward,1,Walker2d-v4,1.165277089286493,1.855
4027,reward,1,Walker2d-v4,6.604051982798827,2.584
4060,reward,1,Walker2d-v4,17.49750253940783,3.964
4075,reward,1,Walker2d-v4,-9.385091910406159,2.977
4096,loss,1,Walker2d-v4,-0.09654967486858368,0.18365880846977234,0.5290266871452332,8.512615203857422,0.07524663209915161
4110,reward,1,Walker2d-v4,5.672670576098852,3.711
4144,reward,1,Walker2d-v4,17.026201329866325,4.417
4178,reward,1,Walker2d-v4,5.226006825720059,4.086
4191,reward,1,Walker2d-v4,-1.560171440007159,3.761
4220,reward,1,Walker2d-v4,-2.22789675310249,4.164
4230,reward,1,Walker2d-v4,-4.407190617901027,3.561
4248,reward,1,Walker2d-v4,-4.794072867534966,2.965
4270,reward,1,Walker2d-v4,-5.135328275813146,1.791
4303,reward,1,Walker2d-v4,1.2886437983073542,0.17
4349,reward,1,Walker2d-v4,-1.1696120500735592,0.992
4363,reward,1,Walker2d-v4,-1.742082377488032,0.25
4373,reward,1,Walker2d-v4,0.8987309243408073,-1.362
4407,reward,1,Walker2d-v4,2.4459147163276764,-1.64
4419,reward,1,Walker2d-v4,1.6964338887840849,-1.315
4427,reward,1,Walker2d-v4,-2.044587441374939,-1.296
4453,reward,1,Walker2d-v4,2.4720953589520165,-0.608
4482,reward,1,Walker2d-v4,16.21316577154798,1.492
4501,reward,1,Walker2d-v4,2.5666719500827413,2.263
4518,reward,1,Walker2d-v4,-3.444578447378005,1.789
4541,reward,1,Walker2d-v4,1.1369833094800086,2.02
4556,reward,1,Walker2d-v4,5.331110587582451,2.727
4576,reward,1,Walker2d-v4,6.54492155147489,3.292
4638,reward,1,Walker2d-v4,-12.995790319788725,1.748
4667,reward,1,Walker2d-v4,4.369853003068298,2.015
4712,reward,1,Walker2d-v4,-6.69704808670289,1.55
4724,reward,1,Walker2d-v4,1.5387870070417557,1.456
4748,reward,1,Walker2d-v4,6.993545325883685,0.534
4763,reward,1,Walker2d-v4,1.498975475598761,0.428
4789,reward,1,Walker2d-v4,7.373766703025514,1.51
4836,reward,1,Walker2d-v4,4.112482711353948,1.807
4888,reward,1,Walker2d-v4,0.5897155435583686,1.333
4922,reward,1,Walker2d-v4,7.3608622620421045,1.415
4938,reward,1,Walker2d-v4,5.648748344698656,3.279
4955,reward,1,Walker2d-v4,5.988737930085476,3.441
5013,reward,1,Walker2d-v4,8.340359944084677,4.945
