step,tag,episode,reward,avg10,algo,env,seed
3207,reward,159,-1.0739886763322382,0.859,PPO,Walker2d-v4,0
3226,reward,160,0.22284870832611126,0.78,PPO,Walker2d-v4,0
3243,reward,161,6.968551242586088,1.578,PPO,Walker2d-v4,0
3254,reward,162,0.0931092494899014,0.705,PPO,Walker2d-v4,0
3282,reward,163,-0.9761669998436856,0.573,PPO,Walker2d-v4,0
3297,reward,164,5.420585487505847,1.378,PPO,Walker2d-v4,0
3313,reward,165,1.3402158622796854,0.641,PPO,Walker2d-v4,0
3341,reward,166,2.918102052288492,0.739,PPO,Walker2d-v4,0
3360,reward,167,5.8078033129585,1.671,PPO,Walker2d-v4,0
3369,reward,168,-2.4816567559909015,1.824,PPO,Walker2d-v4,0
3383,reward,169,-2.3435688356175195,1.697,PPO,Walker2d-v4,0
3393,reward,170,-4.572733141952359,1.217,PPO,Walker2d-v4,0
3416,reward,171,-3.9153254242535893,0.129,PPO,Walker2d-v4,0
3453,reward,172,8.888192011863413,1.009,PPO,Walker2d-v4,0
3473,reward,173,4.342124769100424,1.54,PPO,Walker2d-v4,0
3483,reward,174,-4.922641949696057,0.506,PPO,Walker2d-v4,0
3495,reward,175,0.6282567135639647,0.435,PPO,Walker2d-v4,0
3511,reward,176,1.1510134086523538,0.258,PPO,Walker2d-v4,0
3528,reward,177,1.8147761220542793,-0.141,PPO,Walker2d-v4,0
3543,reward,178,1.4689279008452514,0.254,PPO,Walker2d-v4,0
3557,reward,179,-0.09738986902791058,0.479,PPO,Walker2d-v4,0
3581,reward,180,10.396864665448279,1.975,PPO,Walker2d-v4,0
3609,reward,181,-11.907003870225145,1.176,PPO,Walker2d-v4,0
3618,reward,182,-3.7825639917048393,-0.091,PPO,Walker2d-v4,0
3649,reward,183,-4.226816537873456,-0.948,PPO,Walker2d-v4,0
3661,reward,184,1.1306656035989897,-0.342,PPO,Walker2d-v4,0
3684,reward,185,-5.107115055422639,-0.916,PPO,Walker2d-v4,0
3697,reward,186,-0.3684503984851004,-1.068,PPO,Walker2d-v4,0
3721,reward,187,-2.9807700694755783,-1.547,PPO,Walker2d-v4,0
3749,reward,188,9.98778524184044,-0.695,PPO,Walker2d-v4,0
3771,reward,189,5.531870723935116,-0.133,PPO,Walker2d-v4,0
3787,reward,190,-2.689193708329353,-1.441,PPO,Walker2d-v4,0
3798,reward,191,-7.529400940914063,-1.003,PPO,Walker2d-v4,0
3812,reward,192,0.8240490139161565,-0.543,PPO,Walker2d-v4,0
3833,reward,193,-2.97694381791526,-0.418,PPO,Walker2d-v4,0
3862,reward,194,9.996629798931659,0.469,PPO,Walker2d-v4,0
3874,reward,195,0.18616497543365995,0.998,PPO,Walker2d-v4,0
3887,reward,196,-1.5263012405307181,0.882,PPO,Walker2d-v4,0
3912,reward,197,1.6189989651250078,1.342,PPO,Walker2d-v4,0
3948,reward,198,-4.833659291410645,-0.14,PPO,Walker2d-v4,0
3960,reward,199,-6.694103564014881,-1.362,PPO,Walker2d-v4,0
3978,reward,200,3.4153473040321107,-0.752,PPO,Walker2d-v4,0
3995,reward,201,-3.3635852324484143,-0.335,PPO,Walker2d-v4,0
4022,reward,202,6.904335785581498,0.273,PPO,Walker2d-v4,0
4057,reward,203,1.1283777247469609,0.683,PPO,Walker2d-v4,0
4077,reward,204,-1.0490705135608989,-0.421,PPO,Walker2d-v4,0
4090,reward,205,-2.922141074964373,-0.732,PPO,Walker2d-v4,0
4126,reward,206,9.655536490946254,0.386,PPO,Walker2d-v4,0
4165,reward,207,11.47397800013658,1.372,PPO,Walker2d-v4,0
4181,reward,208,0.6501564912969495,1.92,PPO,Walker2d-v4,0
4189,reward,209,-1.6174894757574325,2.428,PPO,Walker2d-v4,0
4251,reward,210,26.5543123080966,4.741,PPO,Walker2d-v4,0
4267,reward,211,7.742752295205945,5.852,PPO,Walker2d-v4,0
4284,reward,212,-2.3335152263188865,4.928,PPO,Walker2d-v4,0
4303,reward,213,-2.6455377362653865,4.551,PPO,Walker2d-v4,0
4318,reward,214,0.9304844743592495,4.749,PPO,Walker2d-v4,0
4348,reward,215,9.704640688588277,6.012,PPO,Walker2d-v4,0
4380,reward,216,9.450166112270031,5.991,PPO,Walker2d-v4,0
4398,reward,217,-0.36967658556260363,4.807,PPO,Walker2d-v4,0
4439,reward,218,18.154673106214712,6.557,PPO,Walker2d-v4,0
4457,reward,219,-2.3843359854616804,6.48,PPO,Walker2d-v4,0
4467,reward,220,-3.8479600811832286,3.44,PPO,Walker2d-v4,0
4482,reward,221,3.7613929114353786,3.042,PPO,Walker2d-v4,0
4495,reward,222,2.3489599930948053,3.51,PPO,Walker2d-v4,0
4507,reward,223,2.0581371131466573,3.981,PPO,Walker2d-v4,0
4522,reward,224,0.515191277331729,3.939,PPO,Walker2d-v4,0
4537,reward,225,-5.088380991363177,2.46,PPO,Walker2d-v4,0
4546,reward,226,-1.4177804835202028,1.373,PPO,Walker2d-v4,0
4565,reward,227,7.177131841296653,2.128,PPO,Walker2d-v4,0
4593,reward,228,1.338408664565905,0.446,PPO,Walker2d-v4,0
4617,reward,229,13.29779840901138,2.014,PPO,Walker2d-v4,0
4643,reward,230,2.5337807896170244,2.652,PPO,Walker2d-v4,0
4656,reward,231,3.722592677614558,2.649,PPO,Walker2d-v4,0
4667,reward,232,0.20141056356183618,2.434,PPO,Walker2d-v4,0
4682,reward,233,1.8885660134496072,2.417,PPO,Walker2d-v4,0
4701,reward,234,6.342852496207168,3.0,PPO,Walker2d-v4,0
4735,reward,235,17.587112883414864,5.267,PPO,Walker2d-v4,0
4746,reward,236,0.91497316870467,5.5,PPO,Walker2d-v4,0
4760,reward,237,-1.524246242972839,4.63,PPO,Walker2d-v4,0
4773,reward,238,-4.947570420120082,4.002,PPO,Walker2d-v4,0
4791,reward,239,3.1723732531621414,2.989,PPO,Walker2d-v4,0
4808,reward,240,0.4973589650708785,2.786,PPO,Walker2d-v4,0
4820,reward,241,-2.9721394849624043,2.116,PPO,Walker2d-v4,0
4835,reward,242,-2.963120154933183,1.8,PPO,Walker2d-v4,0
4847,reward,243,-3.561229429081482,1.255,PPO,Walker2d-v4,0
4869,reward,244,-6.024017776835754,0.018,PPO,Walker2d-v4,0
4887,reward,245,-7.19197390777288,-2.46,PPO,Walker2d-v4,0
4910,reward,246,1.8096430960528538,-2.37,PPO,Walker2d-v4,0
4922,reward,247,-4.21468844368171,-2.64,PPO,Walker2d-v4,0
4941,reward,248,6.085104551978297,-1.536,PPO,Walker2d-v4,0
4956,reward,249,-3.484063242109686,-2.202,PPO,Walker2d-v4,0
4968,reward,250,-7.350592004422675,-2.987,PPO,Walker2d-v4,0
4980,reward,251,-2.418286811353627,-2.931,PPO,Walker2d-v4,0
5003,reward,252,-4.900485916569245,-3.125,PPO,Walker2d-v4,0
5019,reward,253,4.096636572530946,-2.359,PPO,Walker2d-v4,0
5036,reward,254,3.3874662543513145,-1.418,PPO,Walker2d-v4,0
5052,reward,255,-3.9568499681016056,-1.095,PPO,Walker2d-v4,0
5077,reward,256,8.699352073333513,-0.406,PPO,Walker2d-v4,0
5090,reward,257,0.2600424690781904,0.042,PPO,Walker2d-v4,0
5101,reward,258,0.3330547300217823,-0.533,PPO,Walker2d-v4,0
5126,reward,259,-2.9203097836605663,-0.477,PPO,Walker2d-v4,0
5145,reward,260,-0.7468384211465784,0.183,PPO,Walker2d-v4,0
5169,reward,261,5.712245881330704,0.996,PPO,Walker2d-v4,0
5183,reward,262,-1.7556108520434885,1.311,PPO,Walker2d-v4,0
5191,reward,263,-3.192308898321164,0.582,PPO,Walker2d-v4,0
5201,reward,264,-5.237122620859791,-0.28,PPO,Walker2d-v4,0
5214,reward,265,-0.642253196223565,0.051,PPO,Walker2d-v4,0
5234,reward,266,-0.8052819664095696,-0.899,PPO,Walker2d-v4,0
5249,reward,267,0.6581692867677869,-0.86,PPO,Walker2d-v4,0
5272,reward,268,-2.699567501031874,-1.163,PPO,Walker2d-v4,0
5289,reward,269,4.06916554499869,-0.464,PPO,Walker2d-v4,0
5307,reward,270,5.041097809305751,0.115,PPO,Walker2d-v4,0
5330,reward,271,-3.3627994604480014,-0.793,PPO,Walker2d-v4,0
5339,reward,272,-2.1447656835225892,-0.832,PPO,Walker2d-v4,0
5371,reward,273,0.9330872336451552,-0.419,PPO,Walker2d-v4,0
5387,reward,274,-1.6388947967300576,-0.059,PPO,Walker2d-v4,0
5421,reward,275,3.548540569155323,0.36,PPO,Walker2d-v4,0
5436,reward,276,5.661849212793427,1.007,PPO,Walker2d-v4,0
5486,reward,277,-3.245213686537752,0.616,PPO,Walker2d-v4,0
